"","season","day","date","home_team","away_team","home_score","away_score","stadium","home_1","home_2","home_3","home_4","home_5","home_6","home_7","home_8","home_9","home_10","home_11","home_12","home_13","home_14","home_15","home_16","home_17","home_18","home_19","home_20","home_21","home_22","home_23","away_1","away_2","away_3","away_4","away_5","away_6","away_7","away_8","away_9","away_10","away_11","away_12","away_13","away_14","away_15","away_16","away_17","away_18","away_19","away_20","away_21","away_22","away_23","delayed_game","score_diff","winning_team"
"1","2005-2006","J1","2005-08-20","Aviron Bayonnais","Stade Toulousain",12,26,"","JEAN MARIE USANDISAGA","CHRISTOPHE LAURENT","JÉRÉMY TOMULI","CÉDRIC BERGEZ","SIULÉO LAFAIALI'I","GUILLAUME COMBES","PHIL DAVIES","LOUIS MASSABEAU","GREGORY SUDRE","GERARD FRASER","BENJAMIN LHANDE","SÉBASTIEN ROQUE","JAMES MAC LAREN","BENJAMIN THIERY","RICHARD DOURTHE","EDUARD COETZEE","GRANT HILL","JORGE GARCIA","MIKAERA TEWHATA","VIATCHESLAV GRATCHEV","MATHIEU SIRO","HENRI VERMIS","GREGORY MENKARSKA","YANNICK BRU","OMAR HASAN","TREVOR BRENNAN","ROMAIN MILLO CHLUSKI","JEAN BOUILHOU","GREGORY LAMBOLEY","FINAU MAKA","JEAN BAPTISTE ELISSALDE","JEAN FREDERIC DUBOIS","CEDRIC HEYMANS","YANNICK JAUZION","FLORIAN FRITZ","VINCENT CLERC","CLEMENT POITRENAUD","JULIAN FIORINI","WILLIAM SERVAT","ISITOLO MAKA","JULIEN LE DEVEDEC","ANTOINE BATTUT","XAVIER GARBAJOSA","FREDERIC MICHALAK","","",0,-14,"Stade Toulousain"
"2","2005-2006","J1","2005-08-20","Section Paloise","ASM Clermont",16,28,"","STÉPHANE DELPUECH","FERNANDO GUATIERI","OLIVIER SOURGENS","KARL RUDZKI","GARRICK MORGAN","PIERRE SOM","ALEXANDRU MANTA","PATRICK TABACCO","CHRISTOPHE LAUSSUCQ","GONZALO QUESADA","BRENDON DANIEL","JEAN-EMMANUEL CASSIN","JEAN CHARLES CISTTACQ","MATHIEU DOURTHE","JEAN-MARC SOUVERBIE","DAVID LAPERNE","JOHANE LURO","PATRICK FURET","VINCENT FORGUES","FABIEN CIBRAY","LIONEL BEAUXIS","GREGORY PUYO","LAURENT EMMANUELLI","BRICE MIGUEL","MARTIN SCELZO","ALEXANDRE AUDEBERT","GONZALO LONGO","MICHEL DIEUDE","SAM BROOMHALL","RAPHAËL CHANAL","PIERRE MIGNONI","JEAN-BAPTISTE DAMBIELLE","JULIEN MALZIEU","TONY MARSH","GONZALO CANALE","AURELIEN ROUGERIE","ANTHONY FLOCH","MARIO LEDESMA AROCENA","RÉMI VAQUIN","LOÏC JACQUET","DAVID BARRIER","EMMANUEL ETIEN","JAMIE CUDMORE","DAVIT ZIRAKASHVILI","","",0,-12,"ASM Clermont"
"3","2005-2006","J1","2005-08-20","USA Perpignan","SU Agen",34,9,"","PERRY FRESHWATER","MICHEL KONIECKIEWICZ","SÉBASTIEN BOZZI","COLIN GASTON","NATHAN HINES","GREGORY LE CORVEC","GUILLAUME BORTOLASO","OVIDIU TONITA","NICOLAS DURAND","NICOLAS LAHARRAGUE","MATTHIEU BOURRET","DAVID MARTY","JEAN PHILIPPE GRANDCLAUDE","PASCAL BOMATI","JULIEN LAHARRAGUE","MARIUS TINCU","AGUSTIN LOPRESTTI","CHRISTOPHE PORCU","SAMUELI DAWAI NAULU","BRUNO ROLLAND","SEBASTIEN DESCONS","DIEGO GIANNANTONIO","JEAN JACQUES CRENCA","JALIL NARJISSI","PATRICK BLANCO","DAMIEN FEVRE","KIRILL KULEMIN","GAVIDI RATUVA","AARON PERSICO","MATTHIEU LIEVREMONT","NICOLAS MORLAES","FRANCOIS GELEZ","RUPENI CAUCAUNIBUCA","SYLVAIN MIRANDE","CORNELIUS STOLTZ","LUC LAFFORGUE","PEPITO ELHORGA","CHRISTIAN CALIFANO","ALESSIO GALASSO","JEAN-MICHEL PARENT","FABRICE CULINE","FRANÇOIS TANDONNET","JEROME MIQUEL","JEAN-BAPTISTE RUE","","",0,25,"USA Perpignan"
"4","2005-2006","J1","2005-08-20","RC Toulon","Biarritz Olympique PB",10,20,"","MICHEL PERIE","CAMILLE TRAVERSA","EUSEBIO GUINAZU","NICOLAAS SMIT","FRANCK ALAZET","GREGORY LABADZE","MOHAMMED DRIDI","HAROLD KARELE","LUDOVIC LOUSTAU","MARTIN VICKERS-PEARSON","RACHID OURAK","FRANCK COMBA","DAVID DOUY","GRÉGORY TUTARD","PATRICE TEISSEIRE","PHILIP FITZGERALD","ROMAIN PAIRAULT","SOANE TOEVALU","SAREL JACOBUS LOUW","BENOÎT MARFAING","FREDERIC ARNIAUD","AUBIN HUEBER","KASIANO LEALAMANUA","BENOIT AUGUST","BENOÎT LECOULS","JEROME THION","DAVID COUZINET","SERGE BETSEN","IMANOL HARINORDOQUY","THOMAS LIÈVREMONT","JULIEN DUPUY","JULIEN PEYRELONGUE","DIMITRI YACHVILI","DENIS LISON","THIBAULT DUVALLET","ARAMBURU FEDERICO MARTIN","DAMIEN TRAILLE","SERELI BOBO","MARC BAGET RABAROU","OLIVIER OLIBEAU","PETRU BALAN","JIMMY MARLU","DENIS AVRIL","GUILLAUME BERGOS","","",0,-10,"Biarritz Olympique PB"
"5","2005-2006","J1","2005-08-20","Montpellier Hérault Rugby","Castres Olympique",16,34,"","SEBASTIEN PETIT","OLIVIER DIOMANDE","CLEMENT BAIOCCO","ALEXANDER CODLING","MICKAEL BERT","MICHEL MACURDY","JHARAY RUSSEL","CÉDRIC MATHIEU","SEBASTIEN BUADA","DAVID AUCAGNE","SEBASTIEN KUZBIK","ALESSANDRO STOICA","MURPHY MEFIPOSETA TAELE","LAURENT ARBO","SEBASTIEN LOGEROT","MAMUKA MAGRAKVELIDZE","NICOLAS GRELON","JOHN DANIELL","MARTIN DURAND","JACOBUS PETRUS LUBBE","FRÉDERIC BENAZECH","VINCENT BRUGNAUT","YANNICK FORESTIER","REMY VIGNEAUX","KEES MEEUWS","LIONEL NALLET","NICOLAS SPANGHERO","ROMAIN FROMENT","JULIEN PURICELLI","PAUL VOLLEY","MATHIEU BARRAU","LAURENT MARTICORENA","BRADLY FLEMING","NICOLAS RAFFAULT","ROMI ROPATI","JEAN BAPTISTE PEYRAS LOUSTALET","ROMAIN TEULET","DAVID ROUMIEU","DAVID ATTOUB","RODRIGO CAPO ORTEGA","FLORIAN FAURE","ALEXANDRE ALBOUY","LAURENT CADAU","LALOA MILFORD","","",0,-18,"Castres Olympique"
"6","2005-2006","J1","2005-08-20","CA Brive","Bourgoin",15,10,"","PETRISOR TODERASC","JULIEN CAMPO","PIERRE CAPDEVIELLE","SAMUEL CHINARRO","ALEXANDRE MALEYRIE","LIONEL MALLIER","SIMON AZOULAI","JÉRÔME BONVOISIN","JEAN BAPTISTE PEJOINE","XAVIER SADOURNY","YVES DONGUY","CLEMENT MARIENVAL","LUDOVIC VALBON","FARID SID","SÉBASTIEN BONETTI","DAMIEN MINASSIAN","FRANCO PANI","FABIEN LAURENT","DENYS DROZDZ","RENSBURG CHARL VAN","MAXIME PETITJEAN","CHARLES PLATEK","DAVIT KHINCHAGISHVILI","BENOIT CABELLO","PASCAL PEYRON","ANTHONY MAZEL","JULIEN PIERRE","LAURENT BALUC RITTENER","JULIEN FRIER","AURELIEN DIOTALLEVI","MICHAEL FOREST","ALEXANDRE PECLIER","JEAN FRANCOIS COUX","GUILLAUME BOUSSES","GLENN DAVIES","ANTHONY FOREST","NICOLAS CARMONA","BRICE MONZEGLIO","NICOLAS BONTINCK","WILLIAM TORMO","JOHANN CHARLON","ALEXIS DRIOLLET","DAVID JANIN","PASCAL PAPE","","",0,5,"CA Brive"
"7","2005-2006","J1","2005-08-20","Narbonne","Stade Français Paris",26,20,"","GUYLAIN BONZOLE MOLOLO","THIBAULT ALGRET","JASON HOOPER","ANDREW SPRINGGAY","MARCO BORTOLAMI","DAVID HUNTER","CHRISTIAN LABIT","JEAN-MARIE BISARO","LAURENT BALUE","CEDRIC ROSALEN","JULIEN CANDELON","OLIVIER BENASSIS","JEAN PHILIPPE VIARD","SYLVAIN BARTHES","NICOLAS NADAU","FABIEN ROFES","FRÉDERIC MARTINEZ","FRANCK TOURNAIRE","BERTRAND BEDES","GREGORY MAHE","LIONEL MAZARS","CHRISTOPHER RUIZ","RODRIGO RONCERO","MATHIEU BLIN","PIETER DE VILLIERS","ARNAUD MARCHOIS","MIKE JAMES","MAURO BERGAMASCO","RICHARD SOWERBY","PIERRE RABADAN","JEROME FILLOL","DAVID SKRELA","JULIEN SAUBADE","BRIAN LIEBENBERG","STEPHANE GLAS","JULIEN ARIAS","CHRISTOPHE DOMINICI","BENJAMIN KAYSER","YOHAN MONTES","MORGAN WILLIAMS","CHRISTOPHE MONI","GEOFFROY MESSINA","AUGUSTIN PICHOT","SYLVAIN MARCONNET","","",0,6,"Narbonne"
"8","2005-2006","J2","2005-08-26","Biarritz Olympique PB","USA Perpignan",29,8,"","PETRU BALAN","BENOIT AUGUST","BENOÎT LECOULS","JEROME THION","OLIVIER OLIBEAU","THIERRY DUSAUTOIR","THOMAS LIÈVREMONT","IMANOL HARINORDOQUY","DIMITRI YACHVILI","JULIEN PEYRELONGUE","SERELI BOBO","DENIS LISON","DAMIEN TRAILLE","JIMMY MARLU","NICOLAS BRUSQUE","DENIS AVRIL","DAVID COUZINET","STEVE MALONGA","SERGE BETSEN","JULIEN DUPUY","SHAUN HEGARTY","PERRY FRESHWATER","MARIUS TINCU","SÉBASTIEN BOZZI","COLIN GASTON","NATHAN HINES","GREGORY LE CORVEC","GUILLAUME BORTOLASO","OVIDIU TONITA","SEBASTIEN DESCONS","DIEGO GIANNANTONIO","MATTHIEU BOURRET","JEAN PHILIPPE GRANDCLAUDE","GAVIN HUME","PASCAL BOMATI","JULIEN LAHARRAGUE","MICHEL KONIECKIEWICZ","AGUSTIN LOPRESTTI","CHRISTOPHE PORCU","SAMUELI DAWAI NAULU","SYLVAIN DUPUY","DAVID MARTY","BRUNO ROLLAND","","","",0,21,"Biarritz Olympique PB"
"9","2005-2006","J2","2005-08-27","Stade Toulousain","Section Paloise",52,9,"","GREGORY MENKARSKA","WILLIAM SERVAT","OMAR HASAN","ROMAIN MILLO CHLUSKI","TREVOR BRENNAN","JEAN BOUILHOU","GREGORY LAMBOLEY","YANNICK NYANGA","VINCENT CLERC","FREDERIC MICHALAK","XAVIER GARBAJOSA","BENOIT BABY","FLORIAN FRITZ","GARETH THOMAS","FABIEN PELOUS","YANNICK BRU","JULIAN FIORINI","ANTOINE BATTUT","JULIEN LE DEVEDEC","FINAU MAKA","CLEMENT POITRENAUD","MAXIME MEDARD","STÉPHANE DELPUECH","JOHANE LURO","OLIVIER SOURGENS","OLIVIER NAUROY","KARL RUDZKI","ELVIS LABORDE GRECHE","ALEXANDRU MANTA","VINCENT FORGUES","FABIEN CIBRAY","LIONEL BEAUXIS","BRENDON DANIEL","GREGORY PUYO","JEAN CHARLES CISTTACQ","NICOLAS MOURET","JEAN-MARC SOUVERBIE","FLORIAN CAZALOT","DAVID LAPERNE","GARRICK MORGAN","PATRICK FURET","CHRISTOPHE LAUSSUCQ","GONZALO QUESADA","JEAN-EMMANUEL CASSIN","","",0,43,"Stade Toulousain"
"10","2005-2006","J2","2005-08-27","ASM Clermont","Montpellier Hérault Rugby",29,23,"","LAURENT EMMANUELLI","BRICE MIGUEL","DAVIT ZIRAKASHVILI","DAVID BARRIER","THIBAUT PRIVAT","ALEXANDRE AUDEBERT","MICHEL DIEUDE","PIERRE MIGNONI","STEPHEN JONES","ELVIS VERMEULEN","TONY MARSH","GONZALO CANALE","AURELIEN ROUGERIE","ANTHONY FLOCH","MARIO LEDESMA AROCENA","MARTIN SCELZO","JAMIE CUDMORE","JÉRÔME MOREAU","GODERZI SHVELIDZE","RÉMI VAQUIN","BREYTON PAULSE","MAMUKA MAGRAKVELIDZE","NICOLAS GRELON","CLEMENT BAIOCCO","ALEXANDER CODLING","MICKAEL BERT","MARTIN DURAND","SÉBASTIEN GALTIER","JEROME VALLEE","SEBASTIEN BUADA","DAVID AUCAGNE","SEBASTIEN KUZBIK","ALESSANDRO STOICA","SÉBASTIEN MERCIER","ALI KOKO","FRÉDERIC BENAZECH","SEBASTIEN PETIT","OLIVIER DIOMANDE","MICHEL MACURDY","CÉDRIC MATHIEU","LAURENT ARBO","VASSILI BOST","FREDERIC CHARRIER","","","",0,6,"ASM Clermont"
